x,y
1,-0.528568735
2,-0.220032915
3,-0.153918096
4,-0.939949828
5,-0.829758463
6,-0.64610619
7,-0.440415643
8,0.059118541
9,0.529268362
10,1.197762638
11,2.005832642
12,3.122438466
13,3.416282104
14,3.159168921
15,3.328129012
16,3.23262983
17,2.681673009
18,2.07194746
19,1.285915729
20,-0.190648551
21,-0.447761734
22,-1.013410737
23,-0.756297554
24,-0.961988101
25,-1.130948192
26,-1.241139556
27,-1.49825274
28,-1.358677012
29,-1.152986465
30,-0.778335827
31,-0.359608643
32,0.029734177
33,0.323577815
34,0.610075362
35,0.51457618
36,0.272155179
37,0.345616088
38,0.279501269
39,0.448461361
40,0.235424724
41,-0.051072823
42,-0.315532097
43,-0.197994642
44,-0.02903455
45,0.073810723
46,0.103195087
47,-0.095149369
48,0.015041995
49,0.132579451
50,0.095848996
51,-0.036380641
52,-0.051072823
53,-0.006996277
54,0.154617723
55,0.213386451
56,0.558652725
57,0.793727636
58,0.83045809
59,0.874534636
60,0.903919
61,0.881880727
62,0.808419818
63,0.867188545
64,0.734958908
65,0.470499634
66,-0.043726732
67,-0.175956369
68,-0.043726732
69,-0.197994642
70,-0.330224279
71,-0.388993007
72,-0.550607007
73,-1.34398483
74,-1.527637103
75,-1.211755193
76,-0.153918096
77,0.081156814
78,0.213386451
79,0.470499634
80,0.712920635
81,0.896572909
82,0.727612817
83,0.83045809
84,0.970033818
85,1.087571274
86,0.970033818
87,0.801073727
88,0.521922271
89,0.228078633
90,0.022388086
91,-0.095149369
92,-0.205340733
93,-0.073111096
94,-0.543260917
95,-0.425723461
96,-1.072179465
97,-1.586405831
98,-1.468868376
99,-0.851796736
100,-0.359608643
101,-0.131879824
102,0.20604036
103,0.617421453
104,0.74965109
105,0.676190181
106,0.845150272
107,0.911265091
108,0.962687728
109,0.874534636
110,0.470499634
111,0.000349814
112,-0.264109461
113,-0.602029644
114,-0.64610619
115,-0.565299189
116,-0.638760099
117,-0.778335827
118,-1.050141192
119,-0.660798372
120,-0.638760099
121,-0.653452281
122,-0.447761734
123,-0.168610278
124,0.05177245
125,0.294193451
126,0.698228453
127,1.153686092
128,1.52833673
129,1.462221912
130,1.263877456
131,0.837804181
132,0.330923906
133,-0.249417279
134,-0.49183828
135,-0.778335827
136,-1.057487283
137,-0.932603737
138,-1.03544901
139,-1.248485647
140,-1.351330921
141,-1.050141192
142,-1.152986465
143,-1.366023103
144,-1.307254375
145,-1.277870011
146,-1.145640374
147,-0.859142827
148,-0.131879824
149,0.896572909
150,1.954410005
151,2.395175462
152,2.894709646
153,3.019593193
154,1.822180368
155,0.661497999
156,-0.036380641
157,-0.168610278
158,-1.028102919
159,-1.006064646
160,-1.277870011
161,-1.505598831
162,-1.417445739
163,-1.402753557
164,-1.314600466
165,-0.998718555
166,-0.675490554
167,-0.829758463
168,-0.734259281
169,-0.41103128
170,-0.146572005
171,0.455807452
172,0.602729271
173,0.646805817
174,0.66884409
175,0.764343272
176,0.558652725
177,0.580690998
178,0.470499634
179,0.375000452
180,0.330923906
181,0.007695904
182,0.059118541
183,0.073810723
184,0.191348178
185,0.095848996
186,-0.02903455
187,-0.124533733
188,-0.793028009
189,-0.72691319
190,-0.10249546
191,0.081156814
192,0.220732542
193,0.411730907
194,0.51457618
195,0.492537907
196,0.397038725
197,0.448461361
198,0.588037089
199,0.617421453
200,0.565998816
201,0.632113635
202,0.720266726
203,0.742304999
204,0.823112
205,0.852496363
206,0.940649455
207,0.977379909
208,1.006764273
209,0.992072091
210,0.955341637
211,0.786381545
212,0.661497999
213,0.382346543
214,0.081156814
215,0.169309905
216,0.272155179
217,0.382346543
218,0.499883998
219,0.308885633
220,0.308885633
221,0.228078633
222,0.228078633
223,0.257462997
224,0.161963814
225,-0.036380641
226,-0.146572005
227,-0.506530462
228,-0.859142827
229,-0.565299189
230,-0.653452281
231,-0.932603737
232,-1.160332556
233,-1.152986465
234,-1.241139556
235,-1.417445739
236,-1.285216102
237,-0.499184371
238,-0.286147733
239,-0.33757037
240,-0.10249546
241,0.308885633
242,0.896572909
243,1.197762638
244,1.587105458
245,1.579759367
246,0.565998816
247,0.345616088
248,0.316231724
249,-0.557953098
250,-0.565299189
251,-0.72691319
252,-1.175024738
253,-1.564367558
254,-1.674558922
255,-1.557021467
256,-1.571713649
257,-1.725981559
258,-1.799442468
259,-1.645174559
260,-1.27052392
261,-0.807720191
262,-0.484492189
263,0.257462997
264,1.014110364
265,0.867188545
266,1.168378274
267,1.741373368
268,1.271223547
269,0.992072091
270,0.477845725
271,0.007695904
272,-0.322878188
273,-0.403685189
274,-0.903219373
275,-1.233793466
276,-0.910565464
277,-1.094217738
278,-1.050141192
279,-1.101563828
280,-1.366023103
281,-1.417445739
282,-1.248485647
283,-1.145640374
284,-0.624067917
285,-0.344916461
286,0.081156814
287,0.521922271
288,0.808419818
289,0.999418182
290,1.050840819
291,1.080225183
292,0.962687728
293,0.823112
294,0.345616088
295,0.000349814
296,-0.18330246
297,-0.484492189
298,-0.851796736
299,-1.292562193
300,-1.564367558
301,-1.432137921
302,-1.072179465
303,-1.351330921
304,-1.461522285
305,-1.299908284
306,-1.050141192
307,-0.8003741
308,-0.197994642
309,0.44111527
310,1.315300093
311,1.60179764
312,1.506298458
313,1.792796004
314,1.822180368
315,1.734027277
316,1.68260464
317,1.036148637
318,0.213386451
319,-0.888527191
320,-1.226447375
321,-1.130948192
322,-1.020756828
323,-1.204409102
324,-1.130948192
325,-1.263177829
326,-1.432137921
327,-1.321946557
328,-1.057487283
329,-0.631414008
330,-0.374300825
331,-0.205340733
332,0.073810723
333,0.250116906
334,0.36030827
335,0.330923906
336,0.103195087
